Company Name,Cars Involved,Total Crashes,Average Crashes Per Car
AutoX Technologies Inc,1,1,1.0
Avride Inc. (Yandex),2,2,1.0
"Beep, Inc.",2,3,1.5
"General Motors, LLC",9,22,2.44
Hyundai Motor America,7,16,2.29
"Kia America, Inc.",1,2,2.0
Kodiak Robotics,2,4,2.0
"Lucid USA, Inc.",1,1,1.0
May Mobility,11,14,1.27
NVIDIA CORP,1,2,2.0
Nuro,4,4,1.0
PACCAR Incorporated,9,24,2.67
PlusAI Inc,1,1,1.0
Pony.ai,1,1,1.0
Transdev Alternative Services,24,57,2.38
"VinFast Auto, LLC",3,3,1.0
"Volkswagen Group of America, Inc.",2,3,1.5
Waymo LLC,534,789,1.48
WeRide Corp,4,4,1.0
"Zoox, Inc.",33,42,1.27
